block;day_of_month;month;day_of_week;feeding_start_tank1;feeding_end_tank1;comment;feeding_start_analyses;feeding_end_analyses;year
1;10;Sep;Fri;;;;;;2021
1;11;Sep;Sat;14:07;16:07;;14:07;16:12;2021
1;12;Sep;Sun;14:01;16:01;;14:01;16:06;2021
1;13;Sep;Mon;14:10;16:11;;14:10;16:15;2021
1;14;Sep;Tue;14:04;16:04;;14:04;16:09;2021
1;15;Sep;Wed;14:05;16:05;;14:05;16:10;2021
1;16;Sep;Thu;14:03;16:03;;14:03;16:08;2021
1;17;Sep;Fri;14:06;16:06;;14:06;16:11;2021
1;18;Sep;Sat;14:08;16:08;;14:08;16:13;2021
1;19;Sep;Sun;14:02;16:02;;14:02;16:07;2021
1;20;Sep;Mon;14:06;16:06;;14:06;16:11;2021
1;21;Sep;Tue;14:00;16:00;;14:00;16:05;2021
1;22;Sep;Wed;14:01;16:01;;14:01;16:06;2021
1;23;Sep;Thu;14:00;16:00;;14:00;16:05;2021
1;24;Sep;Fri;14:02;16:02;;14:02;16:07;2021
1;25;Sep;Sat;14:00;16:00;;14:00;16:05;2021
1;26;Sep;Sun;14:00;16:00;;14:00;16:05;2021
1;27;Sep;Mon;14:01;16:01;;14:01;16:06;2021
1;28;Sep;Tue;14:00;16:00;;14:00;16:05;2021
1;29;Sep;Wed;14:01;16:01;;14:01;16:06;2021
1;30;Sep;Thu;14:00;16:00;;14:00;16:05;2021
1;1;Oct;Fri;14:00;16:00;;14:00;16:05;2021
1;2;Oct;Sat;14:02;06:02;;14:02;16:07;2021
1;3;Oct;Sun;14:00;16:00;;14:00;16:05;2021
1;4;Oct;Mon;14:01;16:01;;14:01;16:06;2021
1;5;Oct;Tue;14:00;16:00;;14:00;16:05;2021
1;6;Oct;Wed;14:00;16:00;;14:00;16:05;2021
1;7;Oct;Thu;14:00;16:00;;14:00;16:05;2021
1;8;Oct;Fri;14:00;16:00;;14:00;16:05;2021
1;9;Oct;Sat;14:01;16:01;;14:01;16:06;2021
1;10;Oct;Sun;14:00;16:00;;14:00;16:05;2021
1;11;Oct;Mon;14:01;16:01;;14:01;16:06;2021
1;12;Oct;Tue;14:01;16:01;;14:01;16:06;2021
1;13;Oct;Wed;14:00;16:00;;14:00;16:05;2021
1;14;Oct;Thu;14:01;16:01;;14:01;16:06;2021
1;15;Oct;Fri;14:01;16:01;;14:01;16:06;2021
1;16;Oct;Sat;14:26;16:26;;14:26;16:31;2021
1;17;Oct;Sun;14:01;16:01;;14:01;16:01;2021
1;18;Oct;Mon;14:03;16:07;I think it is 16:07, could be 16:01 too, hard to read in the lab book;14:03;16:08;2021
1;19;Oct;Tue;;;;;;2021
2;1;Nov;Mo;;;;;;2021
2;2;Nov;Tu;14:15;16:15;;14:15;16:20;2021
2;3;Nov;We;14:00;16:00;;14:00;16:05;2021
2;4;Nov;Th;14:00;16:00;;14:00;16:05;2021
2;5;Nov;Fr;14:00;16:00;;14:00;16:05;2021
2;6;Nov;Sa;14:01;16:01;;14:01;16:06;2021
2;7;Nov;So;14:00;16:00;;14:00;16:05;2021
2;8;Nov;Mo;14:00;16:00;;14:00;16:05;2021
2;9;Nov;Tu;14:00;16:00;;14:00;16:05;2021
2;10;Nov;We;14:00;16:00;;14:00;16:05;2021
2;11;Nov;Th;14:01;16:01;;14:01;16:06;2021
2;12;Nov;Fr;14:00;16:00;;14:00;16:05;2021
2;13;Nov;Sa;14:00;16:00;;14:00;16:05;2021
2;14;Nov;So;14:00;16:00;;14:00;16:05;2021
2;15;Nov;Mo;14:00;16:00;;14:00;16:05;2021
2;16;Nov;Tu;14:00;16:00;;14:00;16:05;2021
2;17;Nov;We;14:25;16:25;;14:25;16:30;2021
2;18;Nov;Th;14:00;16:00;;14:00;16:05;2021
2;19;Nov;Fr;14:05;16:05;;14:05;16:10;2021
2;20;Nov;Sa;14:00;16:00;some fish received an empty food patch at 14:00 (no food: front and back of tank 1,4, 5,7,9,10,11 anf front of tank 8), they got their foof at 15:39 until 17:39;14:00;16:05;2021
2;21;Nov;So;14:08;16:08;;14:08;16:13;2021
2;22;Nov;Mo;14:04;16:04;;14:04;16:09;2021
2;23;Nov;Tu;14:03;16:03;;14:03;16:08;2021
2;24;Nov;We;14:01;16:01;;14:01;16:06;2021
2;25;Nov;Th;14:05;16:05;;14:05;16:10;2021
2;26;Nov;Fr;14:04;16:04;;14:04;16:09;2021
2;27;Nov;Sa;14:04;16:04;;14:04;16:09;2021
2;28;Nov;So;14:00;16:00;;14:00;16:05;2021
2;29;Nov;Mo;14:04;16:04;;14:04;16:09;2021
2;30;Nov;Tu;14:06;16:06;;14:06;16:11;2021
2;1;Dec;We;14:04;16:04;;14:04;16:09;2021
2;2;Dec;Th;14:00;16:00;;14:00;16:05;2021
2;3;Dec;Fr;14:01;16:01;;14:01;16:06;2021
2;4;Dec;Sa;14:04;16:04;;14:04;16:09;2021
2;5;Dec;So;14:02;16:02;;14:02;16:07;2021
2;6;Dec;Mo;14:01;16:02;food patches taken out 1 min too late.;14:01;16:06;2021
2;7;Dec;Tu;14:07;16:07;;14:07;16:12;2021
2;8;Dec;We;14:00;16:48;food patches taken out 48 min too late.;14:00;16:05;2021
2;9;Dec;Th;14:00;16:00;;14:00;16:05;2021
2;10;Dec;Fr;;;;;;2021