block;birth_date;in_date;out_date;fish_id;tank;camera;compartment;tank_position;tank_system;mom_id;home_tank;age_at_end
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_01;1F;33;F;wall;1;m1;V18;28
1;24. Sep 21;24. Sep 21;08. Oct 21;m3_01;1B;33;B;wall;1;m3;V46;13
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_03;2F;4;F;middle;1;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_04;2B;4;B;middle;1;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_05;3F;89;F;door;1;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m2_01;3B;89;B;door;1;m2;S11;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_07;4F;68;F;wall;2;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_08;4B;68;B;wall;2;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_09;5F;78;F;middle;2;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_10;5B;78;B;middle;2;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m2_02;6F;57;F;door;2;m2;S11;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_12;6B;57;B;door;2;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_13;7F;66;F;wall;3;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_14;7B;66;B;wall;3;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m2_03;8F;58;F;middle;3;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_16;8B;58;B;middle;3;m1;V18;28
1;24. Sep 21;24. Sep 21;08. Oct 21;m3_02;9F;64;F;door;3;m3;V46;13
1;10. Sep 21;10. Sep 21;08. Oct 21;m2_04;9B;64;B;door;3;m2;S11;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_19;10F;70;F;wall;4;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_20;10B;70;B;wall;4;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_21;11F;1;F;middle;4;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_22;11B;1;B;middle;4;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_23;12F;76;F;door;4;m1;V18;28
1;10. Sep 21;10. Sep 21;08. Oct 21;m1_24;12B;76;B;door;4;m1;V18;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_01;1F;33;F;wall;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_02;1B;33;B;wall;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_03;2F;4;F;middle;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_04;2B;4;B;middle;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_05;3F;89;F;door;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_06;3B;89;B;door;1;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_07;4F;68;F;wall;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_08;4B;68;B;wall;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_09;5F;78;F;middle;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_10;5B;78;B;middle;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_11;6F;57;F;door;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_12;6B;57;B;door;2;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_13;7F;66;F;wall;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_14;7B;66;B;wall;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_15;8F;58;F;middle;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_16;8B;58;B;middle;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_17;9F;64;F;door;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_18;9B;64;B;door;3;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_19;10F;70;F;wall;4;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_20;10B;70;B;wall;4;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_21;11F;1;F;middle;4;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_22;11B;1;B;middle;4;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_23;12F;76;F;door;4;m4;V49;28
2;01. Nov 21;01. Nov 21;29. Nov 21;m4_24;12B;76;B;door;4;m4;V49;28